i= 6248 	idx= 193676
i= 3124 	idx= 196800
i= 1562 	idx= 198362
i= 781 	idx= 199143
i= 390 	idx= 199533
i= 195 	idx= 199728
i= 98 	idx= 199826
i= 49 	idx= 199875
i= 24 	idx= 199899
i= 12 	idx= 199911
i= 6 	idx= 199917
i= 3 	idx= 199920
i= 2 	idx= 199922
i= 1 	idx= 199923
i= 0 	idx= 199922
i= 49981 	idx= 149943
i= 24990 	idx= 174933
i= 12495 	idx= 187428
i= 6248 	idx= 193676
i= 3124 	idx= 196800
i= 1562 	idx= 198362
i= 781 	idx= 199143
i= 390 	idx= 199533
i= 195 	idx= 199728
i= 98 	idx= 199826
i= 49 	idx= 199875
i= 24 	idx= 199899
i= 12 	idx= 199911
i= 6 	idx= 199917
i= 3 	idx= 199920
i= 2 	idx= 199922
i= 1 	idx= 199923
i= 0 	idx= 199922
i= 49981 	idx= 149943
i= 24990 	idx= 174933
i= 12495 	idx= 187428
i= 6248 	idx= 193676
i= 3124 	idx= 196800
i= 1562 	idx= 198362
i= 781 	idx= 199143
i= 390 	idx= 199533
i= 195 	idx= 199728
i= 98 	idx= 199826
i= 49 	idx= 199875
i= 24 	idx= 199899
i= 12 	idx= 199911
i= 6 	idx= 199917
i= 3 	idx= 199920
i= 1 	idx= 199918
i= 1 	idx= 199919
i= 0 	idx= 199919
i= 49980 	idx= 149940
i= 24990 	idx= 174930
i= 12495 	idx= 187425
i= 6248 	idx= 193673
i= 3124 	idx= 196797
i= 1562 	idx= 198359
i= 781 	idx= 199140
i= 390 	idx= 199530
i= 195 	idx= 199725
i= 98 	idx= 199823
i= 49 	idx= 199872
i= 24 	idx= 199896
i= 12 	idx= 199908
i= 6 	idx= 199914
i= 3 	idx= 199917
i= 2 	idx= 199919
i= 1 	idx= 199918
i= 0 	idx= 199917
i= 49980 	idx= 149939
i= 24990 	idx= 174929
i= 12495 	idx= 187424
i= 6247 	idx= 193671
i= 3124 	idx= 196795
i= 1562 	idx= 198357
i= 781 	idx= 199138
i= 390 	idx= 199528
i= 195 	idx= 199723
i= 98 	idx= 199821
i= 49 	idx= 199870
i= 24 	idx= 199894
i= 12 	idx= 199906
i= 6 	idx= 199912
i= 3 	idx= 199915
i= 2 	idx= 199917
i= 1 	idx= 199918
i= 0 	idx= 199917
i= 49980 	idx= 149939
i= 24990 	idx= 174929
i= 12495 	idx= 187424
i= 6247 	idx= 193671
i= 3124 	idx= 196795
i= 1562 	idx= 198357
i= 781 	idx= 199138
i= 390 	idx= 199528
i= 195 	idx= 199723
i= 98 	idx= 199821
i= 49 	idx= 199870
i= 24 	idx= 199894
i= 12 	idx= 199906
i= 6 	idx= 199912
i= 3 	idx= 199915
i= 2 	idx= 199917
i= 1 	idx= 199916
i= 0 	idx= 199916
i= 49979 	idx= 149938
i= 24990 	idx= 174928
i= 12495 	idx= 187423
i= 6247 	idx= 193670
i= 3124 	idx= 196794
i= 1562 	idx= 198356
i= 781 	idx= 199137
i= 390 	idx= 199527
i= 195 	idx= 199722
i= 98 	idx= 199820
i= 49 	idx= 199869
i= 24 	idx= 199893
i= 12 	idx= 199905
i= 6 	idx= 199911
i= 3 	idx= 199914
i= 2 	idx= 199916
i= 1 	idx= 199917
i= 0 	idx= 199916
i= 49979 	idx= 149938
i= 24990 	idx= 174928
i= 12495 	idx= 187423
i= 6247 	idx= 193670
i= 3124 	idx= 196794
i= 1562 	idx= 198356
i= 781 	idx= 199137
i= 390 	idx= 199527
i= 195 	idx= 199722
i= 98 	idx= 199820
i= 49 	idx= 199869
i= 24 	idx= 199893
i= 12 	idx= 199905
i= 6 	idx= 199911
i= 3 	idx= 199914
i= 2 	idx= 199916
i= 1 	idx= 199915
i= 0 	idx= 199914
i= 49979 	idx= 149937
i= 24989 	idx= 174926
i= 12495 	idx= 187421
i= 6247 	idx= 193668
i= 3124 	idx= 196792
i= 1562 	idx= 198354
